"participant","pic","sound","condition","run","rt","accuracy","SOA"
5,"couch","lake","unrelated_cat",1,-99,0,-150
32,"sock","whiskey","unrelated_med",1,-99,1,-150
34,"couch","tide","unrelated_med",1,-99,1,-150
38,"whistle","fluid","mediated",1,-99,1,-150
38,"coat","harbour","unrelated_med",1,-99,1,-150
38,"couch","bed","category",1,-99,1,-150
38,"car","truffle","mediated",1,-99,1,-150
39,"sock","whiskey","unrelated_med",1,-99,1,-150
40,"hand","sheep","unrelated_cat",1,-99,1,-150
37,"flute","sock","unrelated_cat",1,2882.4717,1,-150
5,"couch","tide","unrelated_med",1,2603.1066,0,-150
37,"hand","mouth","category",1,2437.483,1,-150
12,"knife","fork","category",1,2315.7596,1,-150
38,"sock","knife","unrelated_cat",1,2282.8345,1,-150
12,"chair","tablet","mediated",1,2253.9002,1,-150
37,"flute","stalk","unrelated_med",1,2210.9977,0,-150
38,"coat","ham","mediated",1,2186.0544,1,-150
35,"horse","camel","category",1,2044.3764,0,-150
39,"harp","lace","unrelated_med",1,2035.3968,1,-150
6,"couch","bell","mediated",1,2013.4467,1,-150
42,"table","coal","unrelated_med",1,1824.8753,1,-150
12,"bed","count","mediated",1,1814.898,1,-150
6,"coat","fork","unrelated_cat",1,1770,1,-150
12,"hammer","drip","mediated",1,1757.0295,1,-150
35,"harp","drug","mediated",1,1663.2426,0,-150
6,"chair","ham","unrelated_med",1,1639.2971,0,-150
6,"chair","table","category",1,1578.4354,0,-150
24,"pear","lemming","mediated",1,1578.4354,1,-150
6,"drill","hamper","mediated",1,1565.4649,1,-150
12,"knife","camel","unrelated_cat",1,1547.5057,1,-150
12,"hammer","pill","unrelated_med",1,1543.5147,1,-150
42,"chair","ham","unrelated_med",1,1541.5193,1,-150
38,"chair","tablet","mediated",1,1518.5714,1,-150
6,"leg","lemming","unrelated_med",1,1513.5828,1,-150
35,"sock","whiskey","unrelated_med",1,1490.6349,1,-150
12,"star","truffle","unrelated_med",1,1472.6757,1,-150
32,"truck","mouth","unrelated_cat",1,1470.6803,1,-150
6,"truck","chain","unrelated_med",1,1462.6984,1,-150
5,"flute","whistle","category",1,1440.7483,1,-150
6,"chair","moon","unrelated_cat",1,1434.7619,0,-150
17,"lake","mouse","mediated",1,1434.7619,1,-150
38,"car","truck","category",1,1416.8027,1,-150
31,"couch","bed","category",1,1413.8095,1,-150
42,"chair","tablet","mediated",1,1412.8118,1,-150
42,"couch","bed","category",1,1411.8141,1,-150
39,"whistle","mood","unrelated_med",1,1410.8163,1,-150
12,"ship","drum","unrelated_cat",1,1409.8186,1,-150
12,"horse","earth","unrelated_med",1,1396.8481,1,-150
36,"horse","camel","category",1,1390.8617,0,-150
35,"whistle","fluid","mediated",1,1389.8639,0,-150
33,"truck","card","mediated",1,1388.8662,1,-150
12,"bed","couch","category",1,1384.8753,1,-150
33,"flute","stalk","unrelated_med",1,1382.8798,1,-150
33,"whistle","flute","category",1,1379.8866,1,-150
37,"couch","bell","mediated",1,1374.898,1,-150
31,"pear","lemon","category",1,1373.9002,1,-150
35,"camel","legend","unrelated_med",1,1373.9002,0,-150
12,"hammer","pig","unrelated_cat",1,1368.9116,1,-150
33,"drill","hammer","category",1,1364.9206,1,-150
40,"drill","sheet","unrelated_med",1,1359.932,1,-150
31,"mountain","shin","unrelated_med",1,1358.9342,1,-150
35,"camel","house","mediated",1,1347.9592,1,-150
35,"coat","hat","category",1,1347.9592,1,-150
35,"plane","shin","mediated",1,1345.9637,1,-150
12,"horse","ship","unrelated_cat",1,1337.9819,1,-150
6,"knife","fort","mediated",1,1335.9864,1,-150
12,"beans","carrot","category",1,1333.9909,1,-150
38,"chair","table","category",1,1329.0023,1,-150
42,"knife","fork","category",1,1327.0068,1,-150
33,"horse","camel","category",1,1315.034,1,-150
35,"carrot","leg","unrelated_cat",1,1307.0522,1,-150
42,"chair","table","category",1,1305.0567,1,-150
42,"drill","hamper","mediated",1,1304.059,1,-150
6,"lemon","pearl","mediated",1,1293.0839,1,-150
12,"flute","whiskey","mediated",1,1290.0907,1,-150
40,"lemon","pear","category",1,1289.093,1,-150
35,"carrot","drip","unrelated_med",1,1288.0952,1,-150
12,"bed","mountain","unrelated_cat",1,1284.1043,1,-150
33,"drum","mouse","unrelated_med",1,1282.1088,1,-150
12,"chair","table","category",1,1271.1338,1,-150
23,"chair","tablet","mediated",1,1271.1338,1,-150
6,"pear","lemming","mediated",1,1267.1429,1,-150
32,"bed","mountain","unrelated_cat",1,1266.1451,1,-150
33,"pig","truck","unrelated_cat",1,1261.1565,1,-150
12,"ship","bell","unrelated_med",1,1259.161,1,-150
42,"couch","lake","unrelated_cat",1,1258.1633,1,-150
33,"lake","chair","unrelated_cat",1,1257.1655,1,-150
12,"flute","whistle","category",1,1254.1723,1,-150
12,"coat","hat","category",1,1251.1791,1,-150
37,"horse","ship","unrelated_cat",1,1245.1927,1,-150
12,"table","chain","mediated",1,1244.195,1,-150
34,"couch","bed","category",1,1244.195,0,-150
33,"table","chain","mediated",1,1242.1995,1,-150
35,"drum","harbour","mediated",1,1239.2063,1,-150
24,"star","mood","mediated",1,1230.2268,1,-150
33,"table","star","unrelated_cat",1,1229.229,1,-150
35,"truck","mouth","unrelated_cat",1,1228.2313,1,-150
37,"lake","mountain","category",1,1220.2494,1,-150
39,"fork","house","unrelated_med",1,1217.2562,1,-150
31,"flute","whiskey","mediated",1,1216.2585,1,-150
24,"lake","card","unrelated_med",1,1213.2653,1,-150
12,"sock","tide","mediated",1,1212.2676,1,-150
6,"mountain","flute","unrelated_cat",1,1210.2721,1,-150
35,"truck","card","mediated",1,1209.2744,1,-150
33,"sock","tide","mediated",1,1208.2766,1,-150
33,"mountain","flute","unrelated_cat",1,1204.2857,1,-150
12,"fork","knight","mediated",1,1201.2925,1,-150
33,"camel","horse","category",1,1195.3061,1,-150
33,"bed","soap","unrelated_med",1,1195.3061,1,-150
6,"drum","mouse","unrelated_med",1,1192.3129,1,-150
42,"chair","moon","unrelated_cat",1,1192.3129,1,-150
6,"flute","stalk","unrelated_med",1,1190.3175,1,-150
33,"horse","earth","unrelated_med",1,1189.3197,1,-150
33,"lake","mountain","category",1,1187.3243,0,-150
33,"moon","table","unrelated_cat",1,1183.3333,1,-150
40,"plane","ship","category",1,1183.3333,1,-150
12,"ear","couch","unrelated_cat",1,1182.3356,1,-150
12,"drill","hammer","category",1,1180.3401,1,-150
41,"moon","stalk","mediated",1,1180.3401,1,-150
12,"whistle","flute","category",1,1167.3696,1,-150
12,"car","truck","category",1,1166.3719,1,-150
36,"pear","lemming","mediated",1,1166.3719,1,-150
24,"tie","fluid","unrelated_med",1,1165.3741,1,-150
33,"moon","stalk","mediated",1,1165.3741,1,-150
6,"harp","lemon","unrelated_cat",1,1162.381,1,-150
12,"drill","hamper","mediated",1,1161.3832,1,-150
12,"horse","camera","mediated",1,1158.39,1,-150
12,"moon","table","unrelated_cat",1,1153.4014,1,-150
12,"horse","camel","category",1,1152.4036,1,-150
6,"drum","harbour","mediated",1,1151.4059,1,-150
6,"bed","mountain","unrelated_cat",1,1151.4059,1,-150
33,"coat","harbour","unrelated_med",1,1149.4104,1,-150
12,"plane","hat","unrelated_cat",1,1147.415,1,-150
12,"flute","stalk","unrelated_med",1,1145.4195,1,-150
12,"plane","shin","mediated",1,1143.424,1,-150
37,"bed","couch","category",1,1142.4263,1,-150
35,"horse","earth","unrelated_med",1,1140.4308,1,-150
23,"flute","whistle","category",1,1138.4354,1,-150
23,"fork","knight","mediated",1,1137.4376,1,-150
33,"chair","tablet","mediated",1,1136.4399,0,-150
18,"chair","moon","unrelated_cat",1,1132.449,1,-150
40,"drill","hamper","mediated",1,1132.449,1,-150
6,"harp","drum","category",1,1129.4558,1,-150
12,"star","mood","mediated",1,1129.4558,1,-150
33,"lemon","whistle","unrelated_cat",1,1129.4558,1,-150
12,"mountain","lace","mediated",1,1128.458,1,-150
17,"chair","ham","unrelated_med",1,1124.4671,1,-150
6,"hand","carriage","unrelated_med",1,1123.4694,1,-150
42,"horse","ship","unrelated_cat",1,1121.4739,1,-150
5,"mouth","hand","category",1,1120.4762,1,-150
12,"bed","soap","unrelated_med",1,1120.4762,1,-150
