"pic","word","condition","rt","accuracy","participant"
"ear","pearl","unrelated_med",582.6984,0,1
"mountain","shin","unrelated_med",548.7755,1,1
"coat","hat","category",718.39,1,1
"hand","mound","mediated",519.8413,1,1
"camel","legend","unrelated_med",700.4308,1,1
"leg","beans","unrelated_cat",658.5261,1,1
"table","chain","mediated",588.6848,1,1
"chair","tablet","mediated",564.7392,1,1
"truck","car","category",772.2676,1,1
"horse","earth","unrelated_med",952.8571,1,1
"ship","plant","mediated",550.771,1,1
"hammer","pig","unrelated_cat",702.4263,1,1
"sock","tie","category",576.712,1,1
"hat","drug","unrelated_med",634.5805,1,1
"star","truffle","unrelated_med",NA,1,1
"whistle","fluid","mediated",661.5193,1,1
"tie","fluid","unrelated_med",653.5374,1,1
"drum","harbour","mediated",673.4921,1,1
"lemon","knight","unrelated_med",578.7075,1,1
"pig","truck","unrelated_cat",614.6259,1,1
"beans","carrot","category",718.39,1,1
"table","star","unrelated_cat",503.8776,1,1
"couch","tide","unrelated_med",650.5442,1,1
"lake","card","unrelated_med",786.2358,1,1
"car","truck","category",756.3039,1,1
"drum","pear","unrelated_cat",624.6032,1,1
"pear","harp","unrelated_cat",618.6168,1,1
"horse","camera","mediated",768.2766,1,1
"plane","count","unrelated_med",744.3311,1,1
"sheep","car","unrelated_cat",661.5193,1,1
"drum","harp","category",661.5193,1,1
"pear","fort","unrelated_med",626.5986,1,1
"star","mood","mediated",584.6939,1,1
"fork","house","unrelated_med",604.6485,1,1
"bed","couch","category",932.9025,1,1
"ear","couch","unrelated_cat",688.458,1,1
"pear","lemming","mediated",903.9683,1,1
"drill","hamper","mediated",610.6349,1,1
"star","bed","unrelated_cat",604.6485,1,1
"moon","stalk","mediated",648.5488,1,1
"sock","knife","unrelated_cat",1176.3492,1,1
"pear","lemon","category",579.7052,1,1
"mountain","lake","category",840.1134,1,1
"tie","soap","mediated",655.5329,1,1
"moon","plant","unrelated_med",694.4444,1,1
"ear","leg","category",650.5442,1,1
"hand","sheep","unrelated_cat",573.7188,1,1
"mountain","lace","mediated",540.7937,1,1
"hammer","drill","category",661.5193,1,1
"tie","hammer","unrelated_cat",680.4762,1,1
"camel","plane","unrelated_cat",605.6463,1,1
"drill","hammer","category",638.5714,1,1
"hat","drill","unrelated_cat",640.5669,1,1
"chair","moon","unrelated_cat",827.1429,1,1
"ship","bell","unrelated_med",613.6281,1,1
"leg","earth","mediated",622.6077,1,1
"car","hand","unrelated_cat",596.6667,1,1
"flute","stalk","unrelated_med",674.4898,1,1
"lemon","pear","category",593.6735,1,1
"camel","horse","category",798.2086,1,1
"hand","carriage","unrelated_med",543.7868,1,1
"car","truffle","mediated",532.8118,1,1
"bed","soap","unrelated_med",622.6077,1,1
"chair","ham","unrelated_med",623.6054,1,1
"sheep","pill","mediated",672.4943,1,1
"lake","mouse","mediated",685.4649,1,1
"ship","plane","category",577.7098,1,1
"fork","knife","category",975.805,1,1
"mouth","hanger","mediated",659.5238,1,1
"whistle","flute","category",711.4059,1,1
"leg","ear","category",873.0385,1,1
"knife","fort","mediated",1154.3991,1,1
"harp","lace","unrelated_med",731.3605,1,1
"car","tablet","unrelated_med",623.6054,1,1
"pig","sheep","category",657.5283,1,1
"carrot","drip","unrelated_med",564.7392,1,1
"knife","camera","unrelated_med",538.7982,1,1
"hand","mouth","category",569.7279,1,1
"lake","chair","unrelated_cat",533.8095,1,1
"ear","legend","mediated",530.8163,1,1
"sheep","hanger","unrelated_med",538.7982,1,1
"hammer","pill","unrelated_med",672.4943,1,1
"sock","tide","mediated",721.3832,1,1
"bed","count","mediated",690.4535,1,1
"harp","drum","category",566.7347,1,1
"chair","table","category",813.1746,1,1
"hammer","drip","mediated",679.4785,1,1
"ship","drum","unrelated_cat",856.0771,1,1
"moon","star","category",765.2834,1,1
"hat","coal","mediated",627.5964,1,1
